AcctNo,TOTALITEMS,PaidItems,ReturnedItems,ODLimit,ODStatus,ProdCode,BusinessFlag,AccountStatus,RegEValue,OpenDate,AvgColBal,DepositAmount,DepositCount,swipes,spend
E76910499717D2787C7F1B5E14931AF04A7F0B31,0,0,,0.00,0,0F,P,O,N,2006-01-31 00:00:00.000,304014,6827.00,0	0.00	0.00	0.00	0.00,0,0.00
01DAE23F510FF2199AC1F07E2865422999A07CFE,0,0,,0.00,0,0X,P,O,D,2006-03-09 00:00:00.000,813390,132655.48,9	0.00	0.00	0.00	0.00,0,0.00
865544AFF67CE1E97C18678A0F60FE8E071234B8,0,0,,0.00,0,0D,B,O,D,2005-08-02 00:00:00.000,777,100.00,1	0.00	0.00	0.00	0.00,0,0.00
912FC622B0CC1EEC569F5758046E794837E4B8B2,0,0,,0.00,0,06,B,O,D,2012-12-26 00:00:00.000,11804,233.20,2	0.00	0.00	0.00	0.00,0,0.00
35ED276657F31BF43FBF4155694C5FFE784C05FE,1,1,,0.00,0,0L,P,O,N,2002-09-04 00:00:00.000,24,0.00,0	30.00	0.00	0.00	0.00,0,0.00
368FDE4113BD26CF0527A563283FA4727CD153C5,0,0,,700.00,0,0J,P,O,N,2003-02-07 00:00:00.000,21804,3326.19,2	0.00	0.00	0.00	0.00,2,124.99
301F1B39B33300B4A6974B2B56638AC553C413CF,0,0,,0.00,0,0O,P,X,D,2014-05-13 00:00:00.000,0,0.00,0	0.00	0.00	0.00	0.00,0,0.00
CB0698B21BA9753C9F24AEB12E635DEC4FFB30B6,0,0,,0.00,0,0O,P,X,D,2014-05-13 00:00:00.000,0,0.00,0	0.00	0.00	0.00	0.00,0,0.00
AE9D650DDF87E07F7FE4CE0AB3A5A4DB73F2ED03,0,0,,0.00,0,0W,P,O,N,2002-12-16 00:00:00.000,6117,4421.82,2	0.00	0.00	0.00	0.00,16,1594.24
BEDE73DE301EB00B896A4B0DD0BBD128D4D64631,0,0,,0.00,0,0J,P,O,N,2002-11-26 00:00:00.000,3121,853.00,3	0.00	0.00	0.00	0.00,1,43.89
35F7465E8AA4C396BA5558DFFBB940340A936DEA,1,1,,700.00,0,0O,P,O,Y,2003-02-21 00:00:00.000,73,490.00,2	30.00	0.00	0.00	0.00,0,0.00
227455227773C7FA057090962E1FBC598414E732,0,0,,700.00,0,0J,P,O,N,2003-06-27 00:00:00.000,23639,1380.60,2	0.00	0.00	0.00	0.00,0,0.00
52109EB0B70C50E823F2EFA5A21AAB493C28D628,0,0,,0.00,0,0O,P,D,D,2023-01-25 00:00:00.000,31,0.00,0	0.00	0.00	0.00	0.00,0,0.00
F98B9FEFCF2A7924861EF93FE9AA38E57DDAD522,0,0,,1000.00,0,0L,P,O,N,2018-06-22 00:00:00.000,6339,10425.83,6	0.00	0.00	0.00	0.00,0,0.00
158D058A1CAF838514791D78E46633C1E833002D,1,1,,200.00,0,0O,P,O,D,2022-03-14 00:00:00.000,184,5328.85,6	30.00	0.00	0.00	0.00,68,3715.13
